,Company Name,State,Rating,Date,Time,Url,pizza_name_yn,name_length,basketball_season_yn,football_season_yn,baseball_season_yn,season,Days_Since,Last_Score,Three_Day_Avg,Ten_Day_Avg,num_yelp_reviews,yelp_rating,yelp_est_price,Zip
0,Fierro's Pizza,NY,7.4,2020-08-19,6:00,https://onebite.app/restaurant/fierros-pizza-east-hampton-ny-f85ede2a/review/b50eb492-5c4c-47c8-a524-98d019a74675,1,14,0,0,1,summer,1.0,5.8,6.433333333333334,6.81,40.0,3.0,1.0, 11937
1,Springs Pizza,NY,5.8,2020-08-18,6:00,https://onebite.app/restaurant/springs-pizza-east-hampton-ny-9320c5b9/review/edb3d143-d8d8-4a0e-aafa-677ac074faf1,1,13,0,0,1,summer,1.0,6.7,7.3,6.9399999999999995,42.0,3.5,1.0, 11937
2,Pepperoni's,NY,6.7,2020-08-17,6:00,https://onebite.app/restaurant/pepperonis-east-hampton-ny-d593ca4f/review/4f75dbfc-ccc2-43d0-96f7-a0755e49dd5c,0,11,0,0,1,summer,4.0,6.8,7.5,6.88,57.0,3.0,1.0, 11937
3,Astro's Pizza,NY,6.8,2020-08-13,6:00,https://onebite.app/restaurant/astros-pizza-amagansett-ny-e22dd0e2/review/5f29dfee-9ea2-4949-bc7a-3bdf11d9efeb,1,13,0,0,1,summer,1.0,8.4,7.266666666666666,6.919999999999999,57.0,3.0,2.0, 11930
4,Best Pizza & Dive Bar,NY,8.4,2020-08-12,6:00,https://onebite.app/restaurant/best-pizza-and-dive-bar-amagansett-ny-0b77172b/review/c2609e36-bff3-4d4b-8bcf-2355cdd50170,1,21,0,0,1,summer,1.0,7.3,7.099999999999999,6.709999999999999,33.0,3.5,2.0, 11930
5,Pizza Village,NY,7.3,2020-08-11,6:00,https://onebite.app/restaurant/pizza-village-montauk-ny-942a11e4/review/dae7843f-005e-4cc1-af7a-16c36f548eb9,1,13,0,0,1,summer,1.0,6.1,7.133333333333333,6.659999999999999,106.0,3.0,1.0, 11954
6,Sausages Pizza & Pastabilities,NY,6.1,2020-08-10,6:00,https://onebite.app/restaurant/sausages-pizza-and-pastabilities-montauk-ny-333cebfc/review/d7489112-3e0d-4fdf-bd16-7a1baaf04736,1,30,0,0,1,summer,2.0,7.9,7.066666666666667,6.68,81.0,4.0,1.0, 11954
8,Colombo's Cafe & Pastries,MA,7.4,2020-08-06,6:00,https://onebite.app/restaurant/colombos-cafe-and-pastries-hyannis-ma-c45c499b/review/df75bdbc-e352-486c-bbb5-940f0c4fcb27,0,25,0,0,1,summer,1.0,5.9,6.266666666666666,6.499999999999998,187.0,3.5,2.0, 02601
9,Craigville Pizza & Mexican,MA,5.9,2020-08-05,6:00,https://onebite.app/restaurant/craigville-pizza-and-mexican-centerville-ma-614984ea/review/d56a959a-7e2a-4c63-a37d-c812eaba3e9c,1,26,0,0,1,summer,1.0,5.8,6.333333333333333,6.419999999999999,70.0,3.0,2.0, 02632
10,Jack's Pizza Hyannis,MA,5.8,2020-08-04,6:00,https://onebite.app/restaurant/jacks-pizza-hyannis-hyannis-ma-ce3af985/review/10397c32-19af-4d54-9b9c-ce0bf7a4b516,1,20,0,0,1,summer,1.0,7.1,6.8,6.6,41.0,3.5,1.0, 02601
12,B & B Pizza,MA,6.1,2020-07-30,6:00,https://onebite.app/restaurant/b-and-b-pizza-hyannis-ma-0faa8d10/review/ab410b92-cc46-42fc-8625-aafecc38e9ec,1,11,0,0,1,summer,1.0,7.2,6.766666666666667,6.92,59.0,4.0,2.0, 02601
13,New England Pizza House No 1,MA,7.2,2020-07-29,6:00,https://onebite.app/restaurant/new-england-pizza-house-no-1-hyannis-ma-832c82c2/review/11913e7a-a2b9-4fea-abca-240e731b1dcd,1,28,0,0,1,summer,1.0,6.3,6.466666666666666,6.95,33.0,2.5,2.0, 02601
14,Torino Restaurant and Bar,MA,6.3,2020-07-28,6:00,https://onebite.app/restaurant/torino-restaurant-and-bar-hyannis-ma-b11be685/review/c92a7ab3-9825-4efc-9984-dc9a1a1ecb09,0,25,0,0,1,summer,1.0,6.8,6.633333333333333,7.0,206.0,3.0,2.0, 02601
15,Pizza Barbone,MA,6.8,2020-07-27,6:00,https://onebite.app/restaurant/pizza-barbone-hyannis-ma-16981c7b/review/93eeb8c5-8e28-4f5b-b7ae-eefef3aae448,1,13,0,0,1,summer,4.0,6.3,6.6000000000000005,7.0600000000000005,384.0,4.5,2.0, 02601
16,Palio Pizzeria,MA,6.3,2020-07-23,6:00,https://onebite.app/restaurant/palio-pizzeria-hyannis-ma-526532d2/review/02afaabd-6fe4-48f2-a9fd-14912cfffe0d,0,14,0,0,1,summer,1.0,6.8,6.2,7.1800000000000015,167.0,4.0,2.0, 02601
17,British Beer Company,MA,6.8,2020-07-22,6:00,https://onebite.app/restaurant/british-beer-company-hyannis-ma-66553dcc/review/23d2279e-2bc8-4b84-807f-05b0b1c2f64c,0,20,0,0,1,summer,6.0,6.7,6.466666666666666,7.290000000000001,215.0,3.5,2.0, 02601
18,Crust,OH,6.7,2020-07-16,6:00,https://onebite.app/restaurant/crust-cleveland-oh-d23e293c/review/e86e2188-343a-4641-9b44-d1f4354fb5d1,0,5,0,0,1,summer,1.0,5.1,6.8,7.429999999999998,240.0,4.5,2.0, 44113
19,Edison's Pizza Kitchen,OH,5.1,2020-07-15,6:00,https://onebite.app/restaurant/edisons-pizza-kitchen-cleveland-oh-cea944a5/review/7f3bd31d-cb65-47fc-b29c-3722a2ce417d,1,22,0,0,1,summer,1.0,7.6,8.0,7.649999999999999,215.0,4.0,2.0, 44113
20,Vincenza's Pizza & Pasta,OH,7.6,2020-07-14,6:00,https://onebite.app/restaurant/vincenzas-pizza-and-pasta-cleveland-oh-40c42960/review/2ed65102-fb32-4d86-a922-89bf45eb6182,1,24,0,0,1,summer,1.0,7.7,7.966666666666666,7.7,114.0,4.5,1.0, 44115
