Company Name,State,Rating,Date,Time,Url
Fierro's Pizza,NY 11937,7.4,8/19/2020,6:00,https://onebite.app/restaurant/fierros-pizza-east-hampton-ny-f85ede2a/review/b50eb492-5c4c-47c8-a524-98d019a74675
Springs Pizza,NY 11937,5.8,8/18/2020,6:00,https://onebite.app/restaurant/springs-pizza-east-hampton-ny-9320c5b9/review/edb3d143-d8d8-4a0e-aafa-677ac074faf1
Pepperoni's,NY 11937,6.7,8/17/20,6:00,https://onebite.app/restaurant/pepperonis-east-hampton-ny-d593ca4f/review/4f75dbfc-ccc2-43d0-96f7-a0755e49dd5c
Astro's Pizza,NY 11930,6.8,8/13/20,6:00,https://onebite.app/restaurant/astros-pizza-amagansett-ny-e22dd0e2/review/5f29dfee-9ea2-4949-bc7a-3bdf11d9efeb
Best Pizza & Dive Bar,NY 11930,8.4,8/12/20,6:00,https://onebite.app/restaurant/best-pizza-and-dive-bar-amagansett-ny-0b77172b/review/c2609e36-bff3-4d4b-8bcf-2355cdd50170
Pizza Village,NY 11954,7.3,8/11/20,6:00,https://onebite.app/restaurant/pizza-village-montauk-ny-942a11e4/review/dae7843f-005e-4cc1-af7a-16c36f548eb9
Sausages Pizza & Pastabilities,NY 11954,6.1,8/10/20,6:00,https://onebite.app/restaurant/sausages-pizza-and-pastabilities-montauk-ny-333cebfc/review/d7489112-3e0d-4fdf-bd16-7a1baaf04736
Moby's,NY 11937,7.9,8/8/20,4:45,https://onebite.app/restaurant/mobys-east-hampton-ny-589843e7/review/82d36a8e-0350-45e7-950a-ad4308d566ae
Colombo's Cafe & Pastries,MA 02601,7.4,8/6/20,6:00,https://onebite.app/restaurant/colombos-cafe-and-pastries-hyannis-ma-c45c499b/review/df75bdbc-e352-486c-bbb5-940f0c4fcb27
Craigville Pizza & Mexican,MA 02632,5.9,8/5/20,6:00,https://onebite.app/restaurant/craigville-pizza-and-mexican-centerville-ma-614984ea/review/d56a959a-7e2a-4c63-a37d-c812eaba3e9c
Jack's Pizza Hyannis,MA 02601,5.8,8/4/20,6:00,https://onebite.app/restaurant/jacks-pizza-hyannis-hyannis-ma-ce3af985/review/10397c32-19af-4d54-9b9c-ce0bf7a4b516
Main Street Pizza Company,NY 11735,7.1,8/3/20,6:00,https://onebite.app/restaurant/main-street-pizza-company-farmingdale-ny-3d49a2cc/review/e24635a8-929e-4b3a-ad1e-8daea32e4aba
B & B Pizza,MA 02601,6.1,7/30/20,6:00,https://onebite.app/restaurant/b-and-b-pizza-hyannis-ma-0faa8d10/review/ab410b92-cc46-42fc-8625-aafecc38e9ec
New England Pizza House No 1,MA 02601,7.2,7/29/20,6:00,https://onebite.app/restaurant/new-england-pizza-house-no-1-hyannis-ma-832c82c2/review/11913e7a-a2b9-4fea-abca-240e731b1dcd
